age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
46,admin.,divorced,secondary,no,-2650,no,no,cellular,5,may,570,6,-1,1,unknown,no
32,admin.,married,secondary,no,4786,no,no,unknown,25,may,155,5,-1,1,unknown,no
90,blue-collar,single,unknown,no,86,yes,no,cellular,2,may,195,8,-1,3,unknown,no
78,management,single,secondary,no,7359,no,no,cellular,15,jun,118,2,-1,5,unknown,yes
68,housemaid,single,primary,no,2211,no,no,cellular,11,may,173,8,-1,4,failure,no
49,technician,married,tertiary,no,5101,yes,yes,telephone,14,oct,290,6,-1,1,unknown,no
82,housemaid,married,secondary,no,3192,no,yes,cellular,22,jul,376,3,-1,3,unknown,no
60,management,divorced,tertiary,no,5245,yes,no,unknown,8,may,16,4,-1,3,unknown,no
52,retired,married,tertiary,no,3011,no,no,telephone,26,may,41,3,-1,4,unknown,no
53,admin.,married,secondary,no,2005,no,no,unknown,28,jun,56,3,-1,2,unknown,no
35,management,married,tertiary,no,4579,yes,no,unknown,13,may,12,7,204,2,unknown,no
25,entrepreneur,married,tertiary,no,8757,no,no,cellular,11,may,286,3,-1,2,unknown,yes
61,management,married,primary,no,490,yes,no,cellular,7,may,139,8,-1,1,unknown,no
87,admin.,divorced,unknown,no,3684,yes,no,unknown,23,jun,203,1,-1,5,unknown,yes
22,technician,single,tertiary,no,1284,no,no,unknown,21,jun,168,2,-1,2,unknown,no
84,unemployed,divorced,tertiary,no,2818,no,no,unknown,13,sep,967,9,-1,5,unknown,no
82,admin.,married,secondary,no,1426,yes,no,cellular,20,may,258,7,-1,2,success,no
39,retired,married,secondary,no,-5173,no,no,unknown,11,nov,149,4,-1,4,unknown,no
67,technician,married,secondary,no,699,yes,no,cellular,20,jun,626,3,257,4,unknown,no
30,blue-collar,married,primary,no,4298,yes,no,cellular,23,jul,130,3,-1,4,unknown,no
77,technician,married,secondary,no,-995,no,yes,cellular,13,jul,341,2,-1,4,unknown,no
72,self-employed,single,secondary,no,4062,yes,no,cellular,19,aug,72,9,252,4,nonexistent,no
45,technician,divorced,tertiary,no,1850,yes,no,cellular,16,jul,484,4,-1,1,unknown,yes
23,unknown,married,secondary,no,725,no,no,cellular,3,jan,122,9,-1,0,unknown,no
93,admin.,married,secondary,no,4017,no,no,cellular,2,may,70,8,-1,5,unknown,no
52,management,married,secondary,no,3343,no,no,unknown,8,nov,357,4,175,5,unknown,no
87,retired,married,secondary,no,2561,no,no,unknown,8,may,13,7,146,1,failure,no
70,blue-collar,married,unknown,no,4347,no,no,unknown,6,aug,164,5,-1,0,unknown,no
78,blue-collar,married,tertiary,no,1909,no,no,unknown,26,oct,455,5,-1,5,unknown,no
77,unknown,married,primary,no,-3633,yes,no,unknown,17,may,308,7,-1,0,unknown,no
33,admin.,married,primary,no,165,yes,no,unknown,2,sep,101,7,-1,0,unknown,no
46,management,single,tertiary,no,-4113,yes,no,cellular,26,may,272,2,224,5,unknown,no
54,technician,married,secondary,no,3272,yes,no,cellular,9,jan,566,4,-1,4,unknown,no
56,blue-collar,married,tertiary,no,3988,yes,no,unknown,28,jul,128,9,-1,3,unknown,no
21,management,married,secondary,no,4125,no,yes,cellular,7,aug,99,2,-1,3,unknown,no
60,unknown,married,primary,no,2767,no,no,unknown,3,may,29,7,69,4,unknown,no
30,management,married,secondary,no,4203,no,no,cellular,4,may,37,8,29,3,failure,yes
75,blue-collar,single,tertiary,no,-3429,yes,no,cellular,11,jul,513,6,-1,4,unknown,no
71,admin.,divorced,unknown,no,977,yes,no,cellular,26,aug,274,1,-1,4,unknown,no
89,unemployed,single,tertiary,no,-2944,yes,no,unknown,16,jul,112,8,-1,1,unknown,no
76,blue-collar,married,secondary,no,225,yes,no,cellular,4,may,338,9,319,3,unknown,no
46,management,married,tertiary,no,6148,yes,no,cellular,9,may,98,6,-1,1,unknown,no
93,admin.,married,primary,no,4579,no,no,cellular,14,jun,3,8,-1,3,unknown,no
50,management,married,secondary,no,3286,yes,no,cellular,16,may,507,1,190,1,unknown,no
43,unemployed,single,tertiary,no,755,no,no,cellular,24,sep,148,7,-1,5,unknown,no
88,management,married,secondary,no,-1680,yes,no,telephone,2,apr,146,8,-1,1,unknown,no
46,unknown,married,unknown,no,1861,yes,no,cellular,1,jun,291,6,87,1,failure,no
23,blue-collar,married,secondary,no,4632,no,yes,unknown,21,sep,140,5,353,0,unknown,no
54,management,married,primary,no,2529,no,yes,cellular,4,jun,3,8,-1,3,unknown,no
80,technician,divorced,secondary,no,-3457,yes,no,unknown,20,aug,33,6,-1,2,unknown,no
32,management,married,tertiary,no,1613,no,yes,unknown,10,may,116,1,40,4,unknown,no
54,blue-collar,married,secondary,no,-4439,yes,no,unknown,11,may,545,2,-1,2,unknown,no
28,technician,married,tertiary,no,3712,no,yes,unknown,5,jul,198,6,-1,1,failure,yes
71,housemaid,single,secondary,no,-779,yes,yes,cellular,22,oct,84,6,-1,1,unknown,no
55,management,married,tertiary,no,-2369,yes,no,cellular,6,jul,22,3,-1,1,unknown,no
43,unknown,single,secondary,no,3753,no,no,cellular,1,may,235,2,-1,4,unknown,yes
35,blue-collar,married,secondary,no,2978,no,no,cellular,17,apr,156,6,-1,0,unknown,no
62,blue-collar,married,tertiary,no,1997,no,no,cellular,5,sep,370,3,-1,5,unknown,no
70,admin.,single,tertiary,no,7875,yes,no,cellular,5,jun,115,7,-1,1,unknown,no
91,housemaid,married,secondary,no,3204,no,no,unknown,7,may,380,6,-1,0,unknown,no
52,blue-collar,married,secondary,no,-634,yes,no,cellular,18,jun,144,2,-1,3,unknown,no
30,services,married,primary,no,2857,yes,no,cellular,22,apr,17,7,-1,4,failure,no
82,blue-collar,married,unknown,no,441,yes,no,cellular,26,apr,238,2,246,3,failure,no
67,services,married,tertiary,no,5100,yes,no,cellular,28,nov,254,4,-1,2,unknown,no
72,blue-collar,single,tertiary,no,2142,yes,yes,cellular,7,jun,279,6,31,1,unknown,no
25,entrepreneur,married,tertiary,yes,2439,no,yes,unknown,7,may,387,8,-1,5,unknown,no
42,entrepreneur,married,tertiary,no,-3027,yes,no,cellular,6,oct,140,9,397,2,unknown,no
77,services,married,secondary,no,1484,no,no,unknown,6,dec,312,7,-1,2,unknown,no
82,management,single,secondary,no,1131,yes,yes,cellular,1,oct,183,6,317,1,unknown,no
51,entrepreneur,married,tertiary,no,-1772,no,no,cellular,17,aug,301,5,-1,4,failure,no
80,technician,married,primary,no,635,yes,no,cellular,1,dec,43,5,-1,5,unknown,no
83,retired,single,primary,no,2607,yes,no,cellular,2,may,420,6,-1,3,unknown,no
48,blue-collar,single,secondary,no,1286,no,no,cellular,12,oct,29,9,-1,4,unknown,no
88,technician,divorced,tertiary,no,-2936,no,no,cellular,23,may,96,6,-1,4,unknown,yes
40,entrepreneur,married,tertiary,no,480,no,no,unknown,14,feb,12,8,-1,1,unknown,no
36,admin.,married,primary,no,-104,yes,no,telephone,12,feb,174,5,-1,2,unknown,no
71,management,married,unknown,no,1880,no,no,cellular,6,may,206,7,-1,1,unknown,no
67,blue-collar,single,primary,no,1556,no,no,unknown,20,aug,53,8,-1,2,unknown,no
28,blue-collar,married,secondary,no,65,no,no,telephone,10,nov,74,4,-1,5,failure,no
82,student,married,unknown,no,-51,yes,no,cellular,28,apr,288,6,-1,4,failure,no
33,blue-collar,married,tertiary,no,1501,yes,no,cellular,4,sep,49,5,-1,3,unknown,no
80,technician,single,tertiary,no,4188,yes,no,cellular,22,aug,615,5,-1,0,unknown,no
18,unemployed,single,tertiary,no,2135,no,no,unknown,20,feb,330,3,320,2,failure,no
80,retired,married,tertiary,no,5569,yes,no,cellular,11,aug,80,8,-1,4,unknown,no
79,services,divorced,secondary,no,4699,yes,no,cellular,12,feb,72,8,-1,3,unknown,no
78,services,divorced,secondary,no,5790,no,no,cellular,27,may,125,9,-1,3,unknown,no
69,unknown,married,tertiary,no,5405,no,no,cellular,21,jun,120,3,-1,2,unknown,no
54,entrepreneur,married,tertiary,no,5988,no,no,cellular,2,nov,37,9,-1,5,unknown,no
73,blue-collar,single,secondary,no,-2159,no,no,cellular,16,apr,17,7,-1,5,failure,no
39,management,married,secondary,no,3242,yes,no,unknown,21,may,507,4,-1,3,unknown,no
78,management,married,secondary,no,4954,no,no,cellular,11,jun,60,8,-1,5,failure,no
61,blue-collar,married,secondary,no,5497,yes,yes,cellular,20,aug,256,6,-1,1,unknown,yes
53,retired,divorced,tertiary,no,-1012,yes,no,cellular,18,nov,149,5,-1,0,unknown,no
57,admin.,married,primary,no,3272,yes,yes,cellular,10,jun,278,7,-1,4,failure,no
62,technician,single,secondary,no,1525,yes,no,telephone,1,sep,308,2,-1,4,failure,no
20,blue-collar,married,tertiary,no,6841,no,no,unknown,1,jul,232,5,-1,1,unknown,no
28,admin.,married,secondary,no,-2861,no,no,unknown,20,may,488,1,-1,5,failure,no
37,admin.,single,secondary,no,-1007,yes,no,cellular,22,jun,1,4,-1,4,unknown,no
26,blue-collar,married,secondary,no,-4131,yes,no,unknown,11,may,221,7,-1,1,unknown,no
52,blue-collar,married,primary,no,1733,yes,no,unknown,14,jul,44,9,233,3,unknown,no
70,admin.,married,secondary,no,8091,yes,no,cellular,15,may,229,3,322,5,unknown,no
69,blue-collar,single,primary,no,1166,no,no,unknown,25,may,90,8,-1,4,unknown,no
54,blue-collar,married,primary,no,1603,no,no,unknown,15,dec,187,1,209,2,failure,no
84,housemaid,married,secondary,no,2950,yes,no,unknown,16,nov,305,1,-1,4,unknown,no
62,housemaid,married,secondary,no,951,yes,no,cellular,16,may,101,4,-1,1,failure,yes
24,blue-collar,married,primary,no,2398,no,no,cellular,4,aug,8,3,-1,5,failure,no
77,blue-collar,married,unknown,no,2476,no,no,unknown,20,dec,72,6,-1,5,unknown,no
62,admin.,married,primary,no,-1236,no,no,cellular,26,mar,349,2,-1,1,unknown,no
67,admin.,married,secondary,no,1017,yes,no,unknown,4,jul,75,5,164,4,nonexistent,no
62,blue-collar,married,tertiary,no,3525,yes,yes,cellular,2,may,684,9,-1,5,unknown,yes
61,student,single,primary,no,4085,yes,no,cellular,14,aug,452,2,-1,1,unknown,no
25,unknown,single,secondary,no,5195,no,no,unknown,22,apr,171,4,-1,4,unknown,no
61,technician,married,tertiary,no,2306,yes,no,cellular,3,aug,432,6,-1,3,failure,no
80,management,married,secondary,no,2367,no,no,cellular,21,may,50,4,-1,2,unknown,no
41,management,married,secondary,no,3550,yes,no,telephone,7,may,542,4,-1,3,unknown,no
65,blue-collar,divorced,tertiary,no,-484,no,no,unknown,6,aug,96,1,-1,2,unknown,no
20,technician,married,tertiary,no,-607,yes,no,cellular,6,feb,410,5,-1,4,unknown,no
45,technician,married,secondary,no,925,no,yes,cellular,15,nov,237,9,-1,5,unknown,no
52,technician,married,primary,no,-2525,yes,no,cellular,17,may,9,8,-1,1,unknown,no
94,technician,married,primary,no,2520,no,no,cellular,13,jun,389,8,-1,1,unknown,no
34,management,married,tertiary,no,4447,yes,no,unknown,17,aug,362,1,-1,3,unknown,no
39,technician,married,secondary,no,-830,no,no,telephone,23,apr,157,2,-1,5,unknown,no
49,technician,single,primary,no,2605,no,no,cellular,24,jul,199,5,-1,5,unknown,no
95,blue-collar,single,secondary,no,-587,yes,no,cellular,21,jun,5,3,168,2,unknown,no
84,technician,single,tertiary,no,-1749,yes,no,cellular,15,jul,260,2,107,4,unknown,no
20,admin.,single,primary,no,7466,yes,no,cellular,7,jul,278,2,-1,5,unknown,no
36,unknown,married,primary,no,-1706,yes,no,cellular,21,may,49,2,-1,1,unknown,no
82,technician,divorced,secondary,no,-2537,no,yes,unknown,19,may,131,1,-1,0,unknown,no
22,admin.,single,tertiary,no,1944,yes,no,unknown,25,may,25,6,-1,5,unknown,no
84,services,single,secondary,no,2105,yes,no,cellular,20,nov,119,4,-1,0,unknown,no
39,admin.,single,tertiary,no,3301,yes,no,unknown,4,may,558,7,-1,0,unknown,no
89,technician,married,primary,no,7303,yes,no,cellular,16,may,265,2,-1,1,unknown,no
40,technician,married,secondary,no,-1031,yes,no,cellular,21,feb,114,6,-1,4,unknown,yes
51,retired,married,secondary,no,-435,no,no,cellular,28,aug,1162,2,-1,4,unknown,no
69,technician,married,secondary,no,6126,yes,yes,cellular,10,jun,936,9,-1,1,unknown,no
27,admin.,married,secondary,no,4117,no,no,cellular,25,may,32,2,-1,4,unknown,no
61,blue-collar,married,tertiary,no,3700,no,no,unknown,8,nov,214,8,209,5,unknown,no
57,management,married,secondary,no,-469,yes,yes,cellular,11,nov,599,7,-1,0,unknown,no
79,admin.,divorced,tertiary,no,4677,no,no,cellular,27,oct,349,2,-1,5,unknown,no
95,management,single,primary,no,3709,no,no,cellular,5,jun,358,1,-1,3,unknown,no
69,blue-collar,married,secondary,no,1868,no,no,unknown,6,may,219,6,-1,5,unknown,no
49,housemaid,married,secondary,no,-454,yes,no,cellular,24,may,455,1,-1,0,unknown,no
49,management,married,secondary,no,1620,no,no,unknown,26,may,16,6,-1,1,unknown,no
50,technician,divorced,primary,no,6245,yes,no,unknown,3,jul,47,7,381,2,unknown,no
81,blue-collar,single,unknown,no,-1981,yes,no,cellular,24,may,32,6,-1,4,unknown,no
43,technician,single,tertiary,no,-1099,yes,no,cellular,17,jun,321,9,-1,4,unknown,no
31,management,married,tertiary,no,-583,yes,no,cellular,25,jun,204,4,-1,1,unknown,no
44,blue-collar,married,tertiary,no,67,no,no,cellular,14,aug,290,5,-1,1,unknown,no
19,management,single,primary,no,1252,yes,no,cellular,17,mar,33,9,-1,2,unknown,no
26,management,divorced,secondary,no,4175,yes,no,unknown,7,oct,10,8,-1,0,unknown,no
25,blue-collar,married,secondary,no,2684,no,no,unknown,17,may,112,5,-1,5,unknown,no
78,management,married,tertiary,no,1482,yes,no,cellular,12,jul,553,4,-1,4,unknown,no
74,blue-collar,married,secondary,no,2130,yes,no,cellular,12,dec,437,8,115,4,unknown,no
72,entrepreneur,married,secondary,no,3171,yes,no,cellular,8,may,518,6,-1,2,unknown,no
54,retired,divorced,tertiary,no,-3745,no,no,cellular,12,oct,50,5,-1,3,unknown,no
73,management,single,primary,no,4514,no,yes,cellular,5,aug,630,8,-1,1,unknown,no
30,technician,married,tertiary,no,-1179,no,no,unknown,24,dec,268,8,-1,0,unknown,no
88,blue-collar,married,secondary,no,-30,no,yes,cellular,12,may,327,4,-1,1,unknown,no
57,unknown,married,tertiary,no,2321,no,no,cellular,11,apr,1180,4,309,3,success,no
91,technician,married,tertiary,no,1073,no,no,telephone,28,jan,637,7,-1,5,unknown,no
29,unknown,married,secondary,no,2760,no,no,cellular,14,aug,87,1,-1,0,unknown,no
56,technician,single,secondary,no,1725,no,no,unknown,20,apr,405,8,-1,1,unknown,no
72,blue-collar,single,primary,no,432,no,no,unknown,28,may,168,5,-1,0,unknown,no
56,management,married,primary,no,5886,yes,yes,cellular,25,dec,61,8,108,2,success,no
52,blue-collar,single,primary,no,3424,yes,no,cellular,10,may,490,5,-1,5,unknown,no
30,technician,single,secondary,no,2206,yes,no,unknown,15,may,38,4,-1,0,nonexistent,no
47,retired,married,secondary,no,3377,yes,no,cellular,24,aug,456,2,-1,3,unknown,no
36,blue-collar,single,secondary,no,-815,no,no,cellular,15,may,1159,1,47,0,unknown,no
41,technician,single,secondary,no,7824,no,no,unknown,8,jun,17,6,-1,0,unknown,no
71,admin.,single,tertiary,no,-1962,no,no,cellular,15,apr,91,2,-1,3,unknown,no
67,retired,married,primary,no,1639,no,no,cellular,1,jun,378,8,-1,2,unknown,no
65,services,married,secondary,no,440,no,no,cellular,25,apr,189,5,-1,5,failure,no
46,admin.,married,secondary,no,326,no,no,cellular,17,aug,17,8,342,1,unknown,no
92,retired,married,primary,no,-62,yes,no,unknown,8,may,209,5,-1,3,unknown,no
24,technician,married,tertiary,no,-1015,yes,no,unknown,14,may,468,4,-1,0,unknown,no
44,admin.,single,primary,no,4865,yes,yes,cellular,1,dec,127,2,192,3,unknown,no
27,management,married,tertiary,no,-2314,yes,no,cellular,23,aug,743,4,298,4,unknown,no
44,blue-collar,married,secondary,no,4250,yes,no,unknown,15,jun,3,8,-1,2,unknown,no
93,services,divorced,tertiary,no,3245,yes,no,cellular,1,dec,240,8,-1,0,unknown,no
46,admin.,married,tertiary,no,157,yes,no,cellular,13,may,17,5,312,3,unknown,no
88,unemployed,married,tertiary,no,2897,yes,no,cellular,2,jun,137,9,-1,0,unknown,no
56,technician,married,secondary,no,826,no,no,cellular,11,nov,107,1,-1,3,nonexistent,no
72,blue-collar,married,secondary,no,-2003,yes,no,cellular,25,jun,26,1,-1,1,unknown,no
53,blue-collar,married,tertiary,no,-1971,no,no,cellular,19,may,456,1,-1,3,unknown,yes
38,retired,single,secondary,no,3266,yes,no,cellular,14,aug,397,1,-1,4,unknown,no
77,services,married,secondary,no,3110,no,yes,cellular,15,apr,47,1,-1,5,unknown,yes
93,management,married,secondary,no,2026,no,no,telephone,15,apr,92,1,-1,1,unknown,no
38,blue-collar,married,secondary,no,125,no,yes,cellular,3,aug,103,8,65,5,unknown,no
78,admin.,single,secondary,no,728,yes,no,unknown,7,feb,269,5,-1,1,unknown,no
38,unknown,married,primary,no,323,no,no,cellular,23,feb,11,8,-1,0,unknown,no
73,management,single,secondary,no,-3940,yes,yes,cellular,26,may,119,8,-1,5,unknown,no
79,technician,married,primary,no,1483,yes,yes,cellular,5,may,69,7,-1,3,failure,no
53,management,married,secondary,no,2867,no,no,cellular,26,jun,242,1,-1,3,unknown,no
75,technician,married,tertiary,no,1502,yes,no,cellular,1,aug,66,2,-1,1,failure,no
39,admin.,married,secondary,no,6607,yes,no,cellular,15,jun,47,7,-1,1,unknown,no
24,admin.,married,tertiary,no,-1713,no,no,cellular,24,jul,22,9,-1,0,unknown,yes
25,technician,single,primary,no,-683,yes,no,cellular,7,feb,60,2,-1,5,unknown,yes
52,unemployed,married,primary,no,1699,no,no,cellular,27,may,236,6,-1,0,unknown,no
88,blue-collar,married,tertiary,yes,2031,yes,yes,unknown,28,dec,297,1,-1,3,unknown,yes
27,entrepreneur,married,tertiary,no,-4403,yes,no,cellular,12,may,700,2,-1,1,unknown,no
53,management,married,tertiary,no,3108,yes,no,unknown,25,may,4,6,-1,5,unknown,no
72,management,married,tertiary,no,2044,yes,no,cellular,3,dec,175,6,10,4,unknown,no
33,blue-collar,married,tertiary,no,-5058,no,no,cellular,15,may,9,6,-1,0,unknown,no
74,technician,married,tertiary,no,949,no,no,cellular,9,jun,761,5,-1,0,unknown,no
41,blue-collar,married,tertiary,no,-1125,yes,no,unknown,18,may,124,3,-1,0,unknown,no
81,services,married,tertiary,yes,-59,yes,yes,cellular,8,jul,364,8,-1,4,failure,no
63,admin.,married,primary,no,-2714,no,no,unknown,13,may,203,3,-1,0,unknown,no
60,admin.,married,primary,no,2548,yes,yes,unknown,21,jul,316,7,-1,1,unknown,yes
31,services,married,secondary,no,6585,yes,yes,cellular,6,aug,9,4,-1,2,unknown,no
54,blue-collar,divorced,secondary,no,2095,yes,no,cellular,24,jul,184,5,-1,1,unknown,no
84,services,married,tertiary,no,-5178,no,no,cellular,20,mar,56,9,370,2,failure,no
19,admin.,single,secondary,no,2156,yes,no,cellular,8,feb,165,4,-1,1,unknown,yes
77,unemployed,married,secondary,no,716,yes,no,unknown,19,sep,181,8,-1,2,nonexistent,no
56,student,married,tertiary,no,-2003,no,no,unknown,9,nov,92,1,-1,0,failure,no
74,technician,married,secondary,no,2360,no,no,cellular,16,apr,286,5,-1,2,failure,no
69,blue-collar,married,tertiary,no,3939,no,no,cellular,18,may,414,5,-1,3,unknown,yes
51,blue-collar,single,secondary,no,-705,no,no,cellular,23,jul,22,9,-1,2,unknown,no
42,entrepreneur,single,secondary,no,-3631,no,yes,unknown,10,sep,4,3,-1,5,unknown,no
66,management,married,secondary,yes,-4735,no,no,cellular,13,nov,458,6,-1,2,unknown,no
28,blue-collar,single,secondary,no,-697,no,yes,telephone,13,jul,170,6,-1,1,unknown,yes
63,admin.,married,primary,no,833,yes,no,cellular,25,apr,157,1,-1,0,unknown,no
25,entrepreneur,married,secondary,no,-248,yes,no,unknown,24,aug,781,9,-1,3,unknown,no
68,blue-collar,single,secondary,no,-749,no,no,cellular,7,sep,77,5,-1,3,unknown,no
67,housemaid,married,secondary,no,3003,no,no,cellular,3,may,147,4,-1,0,unknown,no
24,blue-collar,married,tertiary,no,2688,yes,yes,unknown,27,jun,258,9,-1,5,unknown,no
77,blue-collar,divorced,primary,no,1898,no,no,unknown,5,may,66,1,-1,5,unknown,no
50,self-employed,divorced,secondary,no,3749,no,no,cellular,6,may,143,6,-1,5,unknown,no
79,housemaid,single,primary,yes,-668,yes,no,unknown,4,oct,303,1,-1,4,unknown,no
21,entrepreneur,married,tertiary,no,-1983,no,no,cellular,5,mar,160,9,-1,0,unknown,no
31,management,single,tertiary,no,-267,yes,yes,cellular,2,aug,255,8,-1,5,unknown,no
56,technician,married,unknown,no,-473,no,no,cellular,17,mar,375,5,-1,2,unknown,no
32,housemaid,married,tertiary,no,-4853,no,no,cellular,15,may,23,4,-1,5,unknown,no
43,retired,married,secondary,yes,-336,no,yes,telephone,3,jul,588,9,-1,1,unknown,no
69,unknown,divorced,tertiary,no,4614,no,no,cellular,19,jan,361,3,-1,4,success,yes
29,management,divorced,secondary,no,3702,no,no,cellular,5,jul,25,7,-1,3,unknown,no
70,technician,single,tertiary,yes,2875,yes,no,unknown,16,may,154,4,-1,2,unknown,yes
26,technician,married,secondary,no,1694,no,no,cellular,21,aug,33,8,-1,2,unknown,no
31,admin.,married,secondary,no,5646,yes,no,cellular,12,dec,457,7,309,0,unknown,no
63,management,married,tertiary,no,-1880,no,no,cellular,9,may,217,9,126,5,unknown,no
79,services,divorced,tertiary,no,-1594,yes,no,unknown,26,jan,30,6,291,4,unknown,no
31,unknown,married,unknown,no,4672,yes,no,cellular,23,sep,77,3,-1,5,unknown,no
41,management,married,primary,no,1382,yes,no,unknown,24,may,384,8,337,3,unknown,no
90,admin.,single,secondary,no,-713,yes,no,unknown,5,apr,37,6,-1,1,unknown,no
95,retired,married,secondary,no,2955,yes,no,unknown,8,oct,277,7,-1,3,unknown,no
63,blue-collar,single,secondary,no,-15,yes,no,unknown,11,may,25,3,-1,2,unknown,no
52,student,married,secondary,no,-1212,yes,no,cellular,5,jul,214,5,-1,5,unknown,no
45,management,single,secondary,no,-1296,yes,no,unknown,11,may,153,8,-1,3,unknown,no
65,services,married,tertiary,no,2264,no,no,cellular,7,jul,259,4,-1,4,unknown,no
64,technician,married,secondary,no,1917,yes,no,cellular,14,jul,78,6,336,3,unknown,no
40,self-employed,married,tertiary,no,5850,no,no,cellular,20,jun,69,2,-1,2,nonexistent,no
19,retired,married,tertiary,no,429,yes,no,unknown,12,jun,7,2,-1,4,unknown,yes
29,student,married,secondary,no,378,no,no,cellular,21,may,208,7,-1,2,unknown,no
92,technician,married,secondary,no,5618,no,no,unknown,11,jan,175,4,-1,0,unknown,no
50,technician,married,secondary,no,4256,no,no,unknown,14,aug,133,2,-1,2,unknown,no
55,admin.,single,primary,no,1734,no,no,cellular,10,oct,342,2,-1,0,unknown,no
54,retired,married,tertiary,no,-3383,no,yes,cellular,3,aug,110,2,-1,4,unknown,no
79,blue-collar,single,secondary,no,-1135,yes,yes,cellular,1,jul,105,5,89,4,unknown,no
23,technician,single,primary,no,-1862,yes,no,cellular,6,jun,228,3,-1,5,unknown,no
24,self-employed,married,unknown,no,1409,yes,yes,telephone,18,jul,125,1,-1,2,unknown,no
39,management,single,tertiary,no,-225,no,no,cellular,3,jul,531,5,-1,5,success,yes
55,blue-collar,married,tertiary,no,6108,no,no,cellular,14,jan,69,9,-1,4,success,no
70,blue-collar,married,secondary,no,-3414,yes,no,cellular,4,may,73,9,339,2,unknown,no
56,services,married,unknown,no,-2184,no,no,cellular,11,may,69,6,171,1,unknown,no
52,blue-collar,single,secondary,no,2033,yes,no,cellular,8,may,229,6,-1,5,unknown,no
91,admin.,married,secondary,no,2864,no,no,cellular,6,aug,350,9,-1,1,unknown,no
30,technician,married,tertiary,no,-6461,no,no,unknown,15,may,118,7,298,0,failure,no
62,technician,divorced,tertiary,no,-3906,yes,no,cellular,25,aug,510,2,-1,0,unknown,no
60,blue-collar,married,secondary,no,509,no,no,cellular,19,dec,8,5,-1,4,unknown,yes
54,blue-collar,divorced,primary,no,5368,yes,no,cellular,7,nov,382,4,94,4,unknown,yes
80,unknown,single,secondary,no,6963,no,no,telephone,24,aug,715,2,-1,3,unknown,no
38,services,divorced,tertiary,no,56,no,no,unknown,26,sep,184,9,-1,2,unknown,no
92,retired,divorced,tertiary,no,788,yes,no,cellular,22,may,205,6,-1,1,unknown,no
43,blue-collar,divorced,secondary,no,-1210,yes,no,cellular,7,aug,509,7,69,0,unknown,no
60,blue-collar,married,primary,no,3199,yes,no,unknown,5,jul,25,8,60,4,unknown,no
58,admin.,single,tertiary,no,5885,no,yes,unknown,28,dec,137,1,218,1,unknown,no
84,services,single,tertiary,no,5068,no,no,cellular,25,jun,4,3,-1,5,nonexistent,no
52,admin.,single,secondary,no,1212,yes,no,telephone,12,may,305,8,-1,5,success,no
40,admin.,married,secondary,no,-1215,yes,yes,cellular,13,sep,113,2,-1,4,unknown,no
19,services,divorced,unknown,no,1324,yes,no,cellular,15,aug,77,2,-1,2,unknown,no
46,unemployed,married,secondary,no,5442,yes,no,unknown,25,apr,703,6,-1,2,unknown,no
82,student,married,secondary,no,98,yes,no,cellular,9,jul,53,3,-1,5,failure,no
18,management,married,secondary,no,-4146,no,no,cellular,19,jul,205,8,-1,0,unknown,no
87,management,married,secondary,no,219,yes,no,telephone,27,jul,108,7,-1,5,unknown,no
60,management,single,tertiary,no,462,no,no,unknown,9,dec,349,7,102,4,unknown,no
